Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
2383,51.06762,-2.3565085,27,Slight,Fine No High Winds,Dual Carriageway,66.3,1.15,9.0,1,3,23
2376,51.397568,-2.5201056,27,Slight,Fine No High Winds,Single Carriageway,56.67,1.59,18.0,0,3,24
2366,51.451344,-2.3681006,27,Slight,Fine No High Winds,Single Carriageway,46.67,1.37,13.0,0,1,26
2576,52.96477,-2.73329,27,Slight,Fine No High Winds,Single Carriageway,59.63,1.67,13.0,1,9,17
2360,51.126194,-2.5704103,27,Slight,Fine No High Winds,Single Carriageway,42.96,1.56,18.0,0,4,23
2059,50.893906,0.056600668,27,Slight,Fine No High Winds,Single Carriageway,30.37,1.22,8.0,1,4,22
2751,57.15257,-2.277653,27,Slight,Fine No High Winds,Single Carriageway,32.22,1.19,11.0,1,8,18
1164,52.360386,-0.7614617,27,Serious,Fine No High Winds,Single Carriageway,60.0,1.89,17.0,0,14,13
1407,52.188663,1.4506265,27,Slight,Fine No High Winds,Single Carriageway,31.85,1.37,11.0,1,2,24
3137,51.13708,0.6419887,27,Slight,Fine No High Winds,Single Carriageway,55.93,1.56,11.0,0,2,25
2994,53.53089,-0.6535917,27,Slight,Fine No High Winds,Single Carriageway,31.48,1.44,16.0,0,3,24
3062,52.795315,1.3772882,27,Slight,Fine No High Winds,Single Carriageway,51.11,1.48,2.0,2,0,25
2726,57.214943,-3.823173,27,Slight,Fine No High Winds,Single Carriageway,59.26,1.89,9.0,0,3,24
1412,52.151985,1.6007634,27,Slight,Fine No High Winds,Single Carriageway,30.0,1.11,15.0,2,5,20
2686,52.193455,-4.3084254,27,Slight,Fine No High Winds,Single Carriageway,40.37,1.56,9.0,1,1,25
2060,50.989895,-0.22946836,27,Slight,Fine No High Winds,Single Carriageway,58.89,1.48,8.0,0,4,23
2718,57.817596,-4.0699406,27,Slight,Fine No High Winds,Single Carriageway,56.67,1.59,14.0,1,4,22
3130,51.111164,0.87928796,27,Slight,Fine No High Winds,Single Carriageway,47.04,1.3,17.0,1,7,19
3014,52.744663,-2.4006388,27,Slight,Fine No High Winds,Single Carriageway,55.19,1.7,8.0,1,4,22
1133,52.824738,-1.3648164,27,Slight,Fine No High Winds,Single Carriageway,55.19,1.44,9.0,2,1,24
919,52.876263,-1.4146438,27,Slight,Fine No High Winds,Single Carriageway,57.78,2.04,16.0,1,5,21
3015,52.20866,-1.6826818,27,Slight,Fine No High Winds,Single Carriageway,51.48,1.37,11.0,2,2,23
2097,50.90026,0.51943296,27,Slight,Fine No High Winds,Single Carriageway,47.04,1.33,8.0,0,4,23
1979,51.355434,0.6488593,27,Slight,Fine No High Winds,Single Carriageway,40.0,1.59,13.0,0,4,23
1423,52.2473,-0.5481801,27,Slight,Fine No High Winds,Single Carriageway,60.0,1.56,17.0,0,9,18
2708,51.917194,-3.467317,27,Slight,Fine No High Winds,Single Carriageway,55.93,1.63,13.0,1,5,21
3123,51.16152,-0.53609097,27,Slight,Fine No High Winds,Single Carriageway,47.78,1.33,14.0,1,1,25
1728,51.38278,-1.3400636,27,Slight,Fine No High Winds,Single Carriageway,30.37,1.11,15.0,0,4,23
2699,51.709206,-4.9505076,27,Slight,Fine No High Winds,Single Carriageway,30.0,1.26,15.0,0,3,24
2999,54.05989,-0.23604311,27,Slight,Fine No High Winds,Single Carriageway,52.59,1.52,16.0,1,3,23
2991,53.478077,-1.4102501,27,Slight,Fine No High Winds,Single Carriageway,52.59,1.7,16.0,0,5,22
